Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Arizona,2022,9,3/5/2022,"1,511","1,363",13,281,39,41,15,69,28,22,18,281,75,177,137,,,,,,,,,,,,,,,
Arizona,2022,10,3/12/2022,"1,514","1,348",15,274,60,48,16,86,25,20,13,299,66,131,101,,,,,,,,,,,,,,,
Arizona,2022,11,3/19/2022,"1,472","1,299",10,285,57,51,10,59,18,15,16,301,70,100,76,,,,,,,,,,,,,,,
Arizona,2022,12,3/26/2022,"1,355","1,205",15,249,45,45,15,68,23,18,18,272,62,67,43,,,,,,,,,,,,,,,
Arizona,2022,13,4/2/2022,"1,326","1,163",16,252,39,45,11,60,21,22,19,246,74,42,23,,,,,,,,,,,,,,,
Arizona,2022,14,4/9/2022,"1,341","1,183",11,281,41,56,21,65,21,,15,273,64,32,21,,,,,,,,,,Suppressed (counts 1-9),,,,,
Arizona,2022,15,4/16/2022,"1,271","1,122",,223,45,53,21,68,26,14,11,255,56,25,19,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2022,16,4/23/2022,"1,293","1,150",,253,44,56,11,55,20,13,15,270,70,22,14,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2022,17,4/30/2022,"1,355","1,189",,276,40,47,19,59,20,16,22,292,67,29,20,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2022,18,5/7/2022,"1,299","1,147",,239,43,61,19,66,21,16,24,249,64,23,12,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2022,19,5/14/2022,"1,318","1,152",,245,51,54,24,62,21,19,16,262,54,25,20,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2022,20,5/21/2022,"1,342","1,184",,251,40,49,16,65,34,14,18,281,71,34,17,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2022,21,5/28/2022,"1,312","1,156",,264,47,47,20,65,18,19,17,268,45,32,17,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2022,22,6/4/2022,"1,314","1,166",,255,38,53,15,61,19,17,28,266,58,38,29,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2022,23,6/11/2022,"1,317","1,133",11,234,44,66,18,51,24,13,15,291,65,38,26,,,,,,,,,,,,,,,
Arizona,2022,24,6/18/2022,"1,437","1,219",,272,51,47,20,67,15,13,19,280,56,65,48,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2022,25,6/25/2022,"1,211","1,059",,215,45,43,15,50,21,14,22,251,53,54,35,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2022,26,7/2/2022,"1,257","1,075",12,239,35,46,24,47,18,12,16,247,57,57,41,,,,,,,,,,,,,,,
Arizona,2022,27,7/9/2022,"1,330","1,139",10,267,40,44,,52,18,14,30,264,53,45,36,,,,,,,Suppressed (counts 1-9),,,,,,,,
Arizona,2022,28,7/16/2022,"1,458","1,206",,251,47,48,11,60,16,12,37,300,68,55,38,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2022,29,7/23/2022,"1,442","1,210",,239,49,51,,66,17,15,56,283,75,62,44,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Arizona,2022,30,7/30/2022,"1,341","1,170",11,240,40,59,14,61,26,17,32,271,58,71,43,,,,,,,,,,,,,,,
Arizona,2022,31,8/6/2022,"1,315","1,155",,244,41,55,18,66,17,16,73,260,41,47,28,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2022,32,8/13/2022,"1,317","1,166",,250,35,47,17,52,22,,74,260,54,54,35,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Arizona,2022,33,8/20/2022,"1,265","1,152",,257,45,53,17,47,11,15,68,267,65,43,24,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2022,34,8/27/2022,"1,248","1,127",,236,38,47,12,65,18,15,66,251,68,28,16,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2022,35,9/3/2022,"1,326","1,213",,257,36,53,,76,19,16,90,252,57,48,36,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Arizona,2022,36,9/10/2022,"1,271","1,164",,223,39,52,13,69,18,17,116,249,63,30,19,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arizona,2022,37,9/17/2022,"1,208","1,122",13,259,33,47,19,59,23,,76,242,48,38,24,,,,,,,,,,Suppressed (counts 1-9),,,,,
Arizona,2022,38,9/24/2022,"1,247","1,155",,238,33,54,,56,21,20,123,235,52,33,21,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Arkansas,2014,1,1/4/2014,684,643,14,131,15,27,25,62,12,14,20,154,46,,,,,,,,,,,,,,,,,
Arkansas,2014,2,1/11/2014,652,615,18,136,17,20,28,57,,20,10,160,28,,,,,,,,,,,Suppressed (counts 1-9),,,,,,
Arkansas,2014,3,1/18/2014,632,589,12,129,22,27,23,44,10,12,,154,27,,,,,,,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2014,4,1/25/2014,657,625,13,138,18,25,23,51,,13,,147,35,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2014,5,2/1/2014,646,604,18,132,17,30,25,44,,20,10,151,31,,,,,,,,,,,Suppressed (counts 1-9),,,,,,
Arkansas,2014,6,2/8/2014,618,594,11,121,20,16,23,38,10,10,,178,30,,,,,,,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2014,7,2/15/2014,655,615,13,112,13,25,22,46,,17,13,158,41,,,,,,,,,,,Suppressed (counts 1-9),,,,,,
Arkansas,2014,8,2/22/2014,609,576,12,140,17,22,15,43,,,14,162,32,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Arkansas,2014,9,3/1/2014,630,593,,134,20,25,14,54,10,,11,151,32,,,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Arkansas,2014,10,3/8/2014,636,586,,136,16,32,18,40,,15,,157,31,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2014,11,3/15/2014,564,531,,116,17,17,19,34,13,17,12,149,31,,,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arkansas,2014,12,3/22/2014,597,552,12,126,20,28,10,45,,13,10,149,26,,,,,,,,,,,Suppressed (counts 1-9),,,,,,
Arkansas,2014,13,3/29/2014,573,548,,128,18,16,18,38,,13,13,149,45,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Arkansas,2014,14,4/5/2014,596,551,10,120,14,19,13,54,,21,,157,33,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2014,15,4/12/2014,582,532,12,131,13,18,18,37,,15,,149,29,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2014,16,4/19/2014,553,517,,110,14,25,14,44,,11,,134,27,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2014,17,4/26/2014,586,533,,132,11,17,12,38,,13,,146,29,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2014,18,5/3/2014,549,482,,110,13,16,,41,12,10,,137,27,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Arkansas,2014,19,5/10/2014,560,519,,107,13,12,14,48,12,15,,158,36,,,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2014,20,5/17/2014,543,509,,111,21,22,,41,,18,,148,23,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2014,21,5/24/2014,518,478,10,123,12,,,33,,14,10,138,19,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Arkansas,2014,22,5/31/2014,583,541,,133,17,25,11,50,,13,,141,29,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2014,23,6/7/2014,510,457,12,113,17,21,12,46,,10,,107,23,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2014,24,6/14/2014,555,523,11,135,17,22,14,46,,,,135,28,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2014,25,6/21/2014,506,454,10,110,15,21,16,37,,,,120,15,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2014,26,6/28/2014,533,487,13,139,17,18,,32,,,,116,22,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2014,27,7/5/2014,566,529,13,125,14,15,11,42,,18,,140,26,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2014,28,7/12/2014,544,504,,120,19,20,,39,10,13,,127,33,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Arkansas,2014,29,7/19/2014,572,532,,134,,21,13,34,,20,,137,34,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2014,30,7/26/2014,519,476,13,122,14,23,14,39,,,,134,23,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2014,31,8/2/2014,570,522,10,145,12,21,11,39,,10,,133,22,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2014,32,8/9/2014,561,525,,134,12,25,13,28,,,,134,31,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2014,33,8/16/2014,503,467,14,109,14,17,10,35,,,,143,25,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2014,34,8/23/2014,524,469,,114,13,20,,39,,13,,128,34,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2014,35,8/30/2014,536,489,,128,14,17,11,31,,11,,135,26,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2014,36,9/6/2014,501,458,,105,12,21,,31,10,,,134,21,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2014,37,9/13/2014,522,470,10,115,20,17,13,42,,14,,120,20,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2014,38,9/20/2014,537,499,,143,22,26,16,25,,12,12,115,24,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Arkansas,2014,39,9/27/2014,589,531,11,119,24,30,16,30,,14,,140,28,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2014,40,10/4/2014,526,484,,116,10,20,,33,,13,,137,32,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2014,41,10/11/2014,554,501,,122,17,33,10,34,,13,,135,30,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2014,42,10/18/2014,562,502,,123,13,27,,32,,,12,131,36,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Arkansas,2014,43,10/25/2014,585,542,,122,19,20,,36,,15,12,170,29,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Arkansas,2014,44,11/1/2014,574,534,11,135,22,21,,39,,17,10,136,25,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Arkansas,2014,45,11/8/2014,541,489,11,99,12,31,,40,11,13,,134,34,,,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Arkansas,2014,46,11/15/2014,571,532,11,119,,32,,37,,15,,154,31,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2014,47,11/22/2014,611,562,,137,16,27,,45,,,,142,38,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2014,48,11/29/2014,574,532,13,124,23,31,12,34,,,,139,40,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2014,49,12/6/2014,618,581,12,138,15,38,,34,11,15,11,159,32,,,,,,,,,Suppressed (counts 1-9),,,,,,,,
Arkansas,2014,50,12/13/2014,576,521,12,122,16,25,15,38,15,13,,134,25,,,,,,,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2014,51,12/20/2014,608,560,12,127,12,34,10,48,,14,,154,27,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2014,52,12/27/2014,603,565,,136,15,27,19,45,10,14,12,157,30,,,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arkansas,2014,53,1/3/2015,634,600,,126,15,26,19,57,10,12,,176,32,,,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2015,1,1/10/2015,746,702,17,145,11,36,32,55,18,19,,189,46,,,,,,,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2015,2,1/17/2015,669,622,10,129,19,34,31,38,,10,14,163,45,,,,,,,,,,,Suppressed (counts 1-9),,,,,,
Arkansas,2015,3,1/24/2015,681,633,10,124,25,36,16,50,,20,,192,28,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,4,1/31/2015,685,640,12,152,15,40,24,56,,,10,179,28,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Arkansas,2015,5,2/7/2015,716,671,14,135,12,40,35,64,,18,,160,42,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,6,2/14/2015,669,612,12,121,18,31,22,45,13,16,,166,34,,,,,,,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2015,7,2/21/2015,616,571,15,101,15,47,21,47,,13,,158,37,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,8,2/28/2015,708,668,,137,17,23,26,50,11,19,10,191,40,,,,,Suppressed (counts 1-9),,,,,,,,,,,,
Arkansas,2015,9,3/7/2015,669,626,14,127,15,30,15,56,,18,,195,32,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,10,3/14/2015,640,592,19,124,23,35,11,35,10,17,,166,31,,,,,,,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2015,11,3/21/2015,571,529,,115,14,30,16,58,15,11,,134,28,,,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2015,12,3/28/2015,566,520,11,117,15,25,13,45,,13,,130,28,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,13,4/4/2015,588,535,,134,20,25,,47,,19,,135,35,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,14,4/11/2015,590,548,11,115,18,20,11,55,,15,,142,36,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,15,4/18/2015,570,527,10,134,14,27,12,39,,14,,147,24,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,16,4/25/2015,559,516,10,128,17,27,,46,,15,,127,30,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,17,5/2/2015,616,572,,135,14,31,11,57,,12,,143,34,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,18,5/9/2015,592,551,,129,17,21,11,47,,13,12,148,31,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Arkansas,2015,19,5/16/2015,574,541,,136,11,28,14,36,,14,,145,23,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,20,5/23/2015,601,549,13,132,15,27,16,47,10,10,,120,36,,,,,,,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2015,21,5/30/2015,591,551,15,150,18,20,11,45,,14,,126,36,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,22,6/6/2015,572,528,,131,20,24,10,47,10,12,,145,14,,,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2015,23,6/13/2015,561,508,,108,21,28,12,40,,13,,130,37,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,24,6/20/2015,574,535,,111,13,32,18,47,,11,,125,37,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,25,6/27/2015,527,479,,133,17,15,13,33,,,,142,25,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2015,26,7/4/2015,563,514,12,136,18,23,14,34,,15,10,120,25,,,,,,,,,,,Suppressed (counts 1-9),,,,,,
Arkansas,2015,27,7/11/2015,509,451,,108,21,16,,40,,16,,124,30,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,28,7/18/2015,536,482,,119,17,19,13,38,,,,140,32,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2015,29,7/25/2015,600,548,10,113,17,21,11,41,11,11,10,157,22,,,,,,,,,,,,,,,,,
Arkansas,2015,30,8/1/2015,522,462,10,122,13,30,,28,,,,118,27,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2015,31,8/8/2015,593,537,12,133,17,27,11,38,,12,,149,23,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,32,8/15/2015,583,542,,124,16,26,15,29,11,12,,159,39,,,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2015,33,8/22/2015,575,515,,147,15,19,,29,,12,,148,23,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,34,8/29/2015,548,491,,124,16,29,11,28,,,,129,28,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2015,35,9/5/2015,548,502,,125,14,33,10,31,,,,133,23,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2015,36,9/12/2015,572,525,,126,15,31,,38,,20,,143,26,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,37,9/19/2015,540,501,11,108,15,32,,49,,11,,141,33,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,38,9/26/2015,528,493,,123,15,22,15,40,,12,,127,32,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,39,10/3/2015,582,539,,135,22,27,,41,,22,,135,24,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,40,10/10/2015,564,517,,123,17,27,13,48,,11,,140,31,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,41,10/17/2015,554,522,,127,14,33,,36,,14,,146,24,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,42,10/24/2015,582,544,,109,27,21,15,47,,12,,146,35,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,43,10/31/2015,631,567,,133,13,31,,43,,14,,172,29,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,44,11/7/2015,529,486,,128,14,32,,36,,13,,126,29,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,45,11/14/2015,596,547,,135,21,26,,47,,13,,150,38,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,46,11/21/2015,581,541,,141,24,30,12,35,,11,,140,25,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,47,11/28/2015,596,548,,103,14,24,16,45,,15,,175,26,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,48,12/5/2015,592,555,,132,15,25,16,36,,19,,164,28,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,49,12/12/2015,616,586,10,136,15,28,10,45,,15,10,173,33,,,,,,,,,,,Suppressed (counts 1-9),,,,,,
Arkansas,2015,50,12/19/2015,576,528,12,122,22,38,11,45,,12,,132,33,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2015,51,12/26/2015,604,568,,136,19,21,13,46,,18,11,186,19,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Arkansas,2015,52,1/2/2016,559,515,,110,18,29,,38,,14,,141,33,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2016,1,1/9/2016,640,593,10,154,20,27,17,49,,17,,154,28,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2016,2,1/16/2016,628,597,,131,23,35,18,42,,16,,173,30,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2016,3,1/23/2016,571,529,,122,19,18,14,42,,14,,152,32,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2016,4,1/30/2016,623,577,,117,14,25,11,48,12,14,,167,29,,,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2016,5,2/6/2016,605,578,,156,19,40,11,38,,,,145,27,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Arkansas,2016,6,2/13/2016,613,560,10,135,16,30,,39,,14,,156,27,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2016,7,2/20/2016,588,539,,120,18,33,12,45,,13,,147,33,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2016,8,2/27/2016,627,584,,137,16,30,14,48,,14,,158,24,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2016,9,3/5/2016,588,542,,122,24,31,17,40,10,12,,164,30,,,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2016,10,3/12/2016,588,547,,128,22,28,10,43,,12,11,144,28,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Arkansas,2016,11,3/19/2016,635,588,12,118,21,30,,54,10,17,,158,33,,,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Arkansas,2016,12,3/26/2016,583,535,,100,15,27,10,46,,19,,157,23,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2016,13,4/2/2016,660,617,13,139,18,19,10,51,11,15,,179,41,,,,,,,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2016,14,4/9/2016,603,574,10,132,21,26,11,50,,14,10,148,35,,,,,,,,,,,Suppressed (counts 1-9),,,,,,
Arkansas,2016,15,4/16/2016,605,560,13,130,21,29,17,32,,12,12,158,35,,,,,,,,,,,Suppressed (counts 1-9),,,,,,
Arkansas,2016,16,4/23/2016,603,547,,103,18,28,14,46,10,15,,165,28,,,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Arkansas,2016,17,4/30/2016,566,525,,114,16,39,,40,,15,,142,29,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2016,18,5/7/2016,553,507,,113,14,22,,47,,16,,155,33,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2016,19,5/14/2016,549,502,,110,21,17,,44,,12,,142,28,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2016,20,5/21/2016,599,543,10,118,16,27,,59,,11,,147,32,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Arkansas,2016,21,5/28/2016,553,510,,127,13,25,,49,,11,,131,16,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
